customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-7000,Female,1,Yes,No,7,Yes,Fiber optic,No,No,No,Month-to-month,No,Electronic check,94.31,700.89,Yes
C-7001,Female,0,Yes,No,35,Yes,Fiber optic,No,Yes,No internet service,Two year,Yes,Mailed check,100.32,3476.83,Yes
C-7002,Male,0,No,Yes,55,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),106.89,5850.96,No
C-7003,Male,0,Yes,No,14,Yes,Fiber optic,Yes,Yes,No,One year,No,Bank transfer (automatic),72.45,1016.13,No
C-7004,Male,1,No,No,10,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),38.45,405.51,No
C-7005,Male,0,No,No,16,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),43.53,656.05,No
C-7006,Female,0,No,Yes,54,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.57,2550.55,Yes
C-7007,Female,1,No,No,70,Yes,DSL,Yes,Yes,No,Two year,No,Credit card (automatic),77.38,5463.47,No
C-7008,Male,1,No,No,44,Yes,Fiber optic,No internet service,Yes,Yes,One year,Yes,Electronic check,21.28,912.55,No
C-7009,Male,1,No,No,45,Yes,Fiber optic,No,No,No,One year,Yes,Mailed check,81.6,3653.31,Yes
C-7010,Female,0,Yes,Yes,56,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Electronic check,54.44,3082.29,Yes
C-7011,Female,0,No,No,57,Yes,Fiber optic,No,Yes,No,Two year,No,Credit card (automatic),47.52,2663.66,No
C-7012,Female,0,Yes,No,21,No,Fiber optic,Yes,No internet service,No,Two year,No,Credit card (automatic),105.95,2221.41,No
C-7013,Female,0,Yes,No,68,No,DSL,No,Yes,No,Month-to-month,No,Electronic check,64.0,4339.96,No
C-7014,Female,0,Yes,Yes,50,Yes,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.51,1357.16,No
C-7015,Female,0,No,No,33,Yes,DSL,No internet service,No,No,Month-to-month,No,Credit card (automatic),100.67,3300.68,No
